Date: 10/8/2024 Time: 17:53:22, Count: 1, Pin: D4, Sensor Name: Sensor 2
Date: 10/11/2024 Time: 21:03:48, Count: 105, Pin: D4, Sensor Name: Sensor 2
Date: 10/11/2024 Time: 21:20:17, Count: 106, Pin: D4, Sensor Name: Sensor 2
Date: 10/11/2024 Time: 21:20:18, Count: 107, Pin: D4, Sensor Name: Sensor 2
Date: 10/11/2024 Time: 21:20:37, Count: 108, Pin: D4, Sensor Name: Sensor 2
Date: 10/11/2024 Time: 21:36:37, Count: 109, Pin: D4, Sensor Name: Sensor 2
Date: 10/11/2024 Time: 21:36:42, Count: 110, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 02:01:20, Count: 111, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 04:55:04, Count: 112, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 05:10:04, Count: 113, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 06:05:31, Count: 114, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 06:07:05, Count: 115, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 07:04:16, Count: 116, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 07:06:38, Count: 117, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 11:04:49, Count: 118, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 12:46:42, Count: 119, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 12:46:54, Count: 120, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 13:23:58, Count: 121, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:20:03, Count: 122, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:20:08, Count: 123, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:20:10, Count: 124, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:22:17, Count: 125, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:22:56, Count: 126, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:23:12, Count: 127, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:23:15, Count: 128, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:23:19, Count: 129, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:23:22, Count: 130, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:23:24, Count: 131, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:23:28, Count: 132, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:23:29, Count: 133, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:24:06, Count: 134, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 17:42:32, Count: 135, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 21:10:35, Count: 136, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 21:10:45, Count: 137, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 21:58:33, Count: 138, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 21:58:40, Count: 139, Pin: D4, Sensor Name: Sensor 2
Date: 10/12/2024 Time: 23:04:06, Count: 140, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 06:41:13, Count: 141, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 06:41:24, Count: 142, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 06:41:30, Count: 143, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 12:29:11, Count: 144, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 12:29:19, Count: 145, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 12:31:38, Count: 146, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 12:31:45, Count: 147, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 15:24:08, Count: 148, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 15:24:10, Count: 149, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 15:26:41, Count: 150, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 18:31:49, Count: 151, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 18:31:51, Count: 152, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 18:32:05, Count: 153, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 18:57:27, Count: 154, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:02:43, Count: 155, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:02:54, Count: 156, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:02:56, Count: 157, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:02:58, Count: 158, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:02:59, Count: 159, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:03:02, Count: 160, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:03:03, Count: 161, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:03:09, Count: 162, Pin: D4, Sensor Name: Sensor 2
Date: 10/13/2024 Time: 19:03:15, Count: 163, Pin: D4, Sensor Name: Sensor 2
